# Waarnemingssoort,begindatum,begintijd,tijdstap in minuten
# neerslag_VZM_precipitation_gemiddelde_wb6_precipitation_mm (mm)
H 2010-01-01 12:00 1440
0.02
3.456
7.034
0.0
5.996
0.0
0.002
0.0
0.019
0.241
0.134
0.06
0.0
0.165
0.019
0.075
10.93
0.197
1.714
0.009
0.007
0.15
0.535
9.766
0.61
0.001
0.0
5.186
6.644
6.791
2.309
1.195
3.359
11.17
1.256
0.169
1.814
0.166
0.592
0.0
2.408
1.129
0.008
0.033
0.227
0.936
0.168
0.056
0.108
0.359
0.722
0.038
2.488
11.597
2.848
6.723
4.174
1.032
10.25
13.537
0.038
0.001
0.002
0.019
6.776
0.001
0.0
0.706
0.0
0.0
0.0
0.056
0.096
0.18
4.721
0.001
0.0
0.119
7.344
9.599
0.156
0.021
0.0
0.0
0.879
0.655
1.258
4.677
3.067
3.474
10.866
1.661
1.911
9.628
0.587
0.093
0.0
2.42
0.0
0.0
0.0
0.0
0.0
0.0
0.013
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.001
0.0
0.0
0.0
7.98
2.508
11.269
7.86
4.897
0.0
0.0
0.0
2.101
0.102
0.0
0.0
8.412
0.342
0.001
0.0
0.0
1.284
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
1.716
0.018
0.0
5.45
3.167
0.051
0.013
0.0
0.0
0.0
0.0
2.336
0.003
10.758
7.887
1.784
0.001
0.0
0.0
0.0
0.0
0.0
0.0
0.3
2.611
0.547
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.2
0.0
0.0
0.352
2.061
0.001
0.059
0.0
0.0
0.0
0.0
20.951
0.056
6.482
0.037
14.849
0.0
0.406
0.511
0.0
0.0
0.0
0.037
0.016
0.042
0.0
14.816
0.476
12.313
13.417
1.032
0.051
0.161
0.487
3.017
0.0
10.781
0.019
0.075
5.281
1.181
0.0
3.384
0.993
1.271
5.919
0.019
37.185
7.096
3.974
0.513
0.0
0.0
0.0
10.079
1.774
0.154
21.101
12.946
1.919
8.463
15.149
0.78
0.092
0.019
0.0
0.0
0.0
0.0
14.145
16.119
12.395
0.101
1.604
4.828
0.351
0.042
14.553
4.099
7.13
0.597
0.094
0.037
0.019
0.0
0.0
5.973
1.858
20.127
0.002
5.668
0.007
2.34
0.689
13.318
2.829
0.045
0.0
1.255
0.039
0.001
0.0
0.0
0.0
0.0
0.0
0.0
0.064
12.353
0.0
0.0
7.174
13.501
8.423
0.001
0.027
14.233
2.202
0.057
4.373
3.487
0.02
0.119
2.014
0.139
0.063
1.069
2.755
0.165
16.238
0.083
0.798
1.945
8.893
