Volkerak_spuisluizen_gat2_gat3
* Q in miljoen m3 per dag
* period 2010 t/m 2018
*DATUM WAARDE
20101220 1.3977
20101221 1.1047
20101222 1.1285
20101223 0.9766
20101224 0.9175
20101225 1.0861
20101226 0.05
20101227 0.0905
20101228 1.7999
20101229 1.9479
20101230 1.3627
20101231 0.0689
20110101 0.0393
20110102 0.6548
20110103 0.1121
20110104 0.1482
20110105 0.1177
20110106 1.0525
20110107 0.4355
20110108 0.0872
20110109 0.1683
20110110 0.0683
20110111 0.089
20110112 0.1301
20110113 0.3168
20110114 0.2482
20110115 0.161
20110116 0.1408
20110117 0.1075
20110118 0.5277
20110119 0.64
20110120 0.9823
20110121 1.3946
20110122 1.4823
20110123 1.6017
20110124 1.6096
20110125 0.0822
20110126 1.6227
20110127 1.9532
20110128 1.9323
20110129 1.6966
20110130 1.8945
20110131 1.8086
20110201 0.119
20110202 0.1292
20110203 0.1671
20110204 0.2706
20110205 0.4891
20110206 0.3696
20110207 0.1798
20110208 0.1136
20110209 1.1765
20110210 0.167
20110211 0.0823
20110212 1.4343
20110213 1.402
20110214 1.5088
20110215 1.7202
20110216 0.0084
20110217 1.1197
20110218 1.285
20110219 1.9258
20110220 1.8603
20110221 1.8832
20110222 1.9459
20110223 0.0103
20110224 0.0265
20110225 0.0804
20110226 0.1201
20110227 0.052
20110228 0.7794
20110301 0.5772
20110302 1.9529
20110303 1.9466
20110304 1.9531
20110305 1.8449
20110306 1.819
20110307 0.232
20110308 0.028
20110309 0.2447
20110310 0.2485
20110311 0.1541
20110312 1.3952
20110313 0.0729
20110314 1.8633
20110315 1.6466
20110316 1.6466
20110317 1.602
20110318 0.0673
20110319 1.8894
20110320 0.0521
20110321 0.037
20110322 1.8879
20110323 1.9458
20110324 1.9498
20110325 1.8983
20110326 1.9523
20110327 1.884
20110328 1.9529
20110329 1.898
20110330 1.9274
20110331 1.8372
20110401 1.8801
20110402 1.9469
20110403 1.8126
20110404 1.7543
20110405 1.9428
20110406 1.8547
20110407 1.8857
20110408 1.8443
20110409 1.907
20110410 1.7881
20110411 1.807
20110412 1.7567
20110413 1.9527
20110414 1.9422
20110415 1.9287
20110416 1.8948
20110417 1.9521
20110418 1.9526
20110419 1.9275
20110420 1.9515
20110421 1.9529
20110422 1.953
20110423 1.5463
20110424 2.1113
20110425 0.5318
20110426 0.9494
20110427 1.3841
20110428 1.518
20110429 1.9662
20110430 2.1371
20110501 2.1611
20110502 2.4127
20110503 2.5453
20110504 3.1385
20110505 2.9088
20110506 0.9044
20110507 1.9282
20110508 2.1537
20110509 2.4361
20110510 2.3269
20110511 2.0548
20110512 1.8277
20110513 1.7143
20110514 1.3048
20110515 1.6156
20110516 1.8776
