# Waarnemingssoort,begindatum,begintijd,tijdstap in minuten
# Gemaal_De_Luyster (m3)
Q 2010-01-01 12:00 1440
67061
43606
32106
28603
30036
22339
17046
13416
13799
11144
9608
12755
9590
12657
4983
19800
161020
96735
54254
38839
28107
21563
21369
54533
42650
27732
22457
25853
63227
69782
45794
36594
46157
90553
54776
42025
32351
24842
20655
17917
16040
11126
11654
14850
14416
4472
13131
14331
9221
11697
16523
11910
34707
80692
46355
68841
70322
44733
93162
157324
71922
42150
50
20421
20118
19529

10818
13732
9510
9843
8073
8989
8585
5901
9714
9010
8982
14110
23116
13907
11942
8470
9444
9173
8146

10131
4776
8603
15959
15631
15537
42053
36875
19868
19349
15294
7883
2778
6552
5843





6524
1788



3145
11805
8632
3655
13527
7438
10577
15932
9143
19642
19791
11310
11262
9380
5126
8338
8927
3576
7149
6873

13270
10400
11491
3307
6084
1758
3636
8246
8730
9110
8768
3500
7064
9652
9239
8609
8984
3151
2600

3298
4660
8718

9245
3450
8042



7592

3390
7814
3723
9718
8972
7620
10438
8442
4948
7721
3206
7331
8071
8207
7977
8535

7942
7942
7114

7897

3282
3089
5932
372

10789
3569
10100
3289
3234
7839

3384
3641
7926
3368
2863


12547
10997
5960
5907
2317
7676
8231
8715
7205
7936
8367
7449
7401



8183
13246
11391

46567
25735
14568
11437
8176
8055

3571
3844

17545
27797
14508
14295
54860
30919
15186
12116
4612
8033
4444
4175
6442
56175
92411
59506
31664
25332
21668
14816
54804
35492
40860
35927
21120
10768
10931
7556
11141
14145
9589
60782
44735
36938
31348
21000
18443
55698
48537
30195
19088
17633
9966
7231
13317
12369
7140
75
3793
6927
8394
11814
11154
4561
16590
69826
107881
51813
42329
64233
56593
30758
38578
41311
30211
23653
22490
15149
11322
11976
7521
14837
65478
52250
28725
32015
27948
66762
151330
247403
166313
101667
60471
43549
32817
22873
22068
21182
8261
11689
31571
89236
67074
44238
34365
20919
17690
12912
9102
9925
8810
42713
49188
30682
24067
19893
41249
51248
38730
20756
17423
